id,municode,name,displayName,type,lat,long,cog,region
003580,859,VERONA,Verona Borough,borough,12.584262239389307,2.851398469103203,Allegheny Valley North,ES
003422,871,PENNSBURY VILLAGE,Pennsbury Village Borough,borough,12.40437376708924,2.7429150015316144,Char-West,AA
003110,200,CLAIRTON,Clairton,city,12.584863528871487,2.641834093703696,Steel Rivers,MV
003540,853,SPRINGDALE,Springdale Borough,borough,12.622858336788251,2.8957529245032108,Allegheny Valley North,NH
003400,845,OAKMONT,Oakmont Borough,borough,12.586058408864131,2.8675730111745668, ,ES
003050,806,BLAWNOX,Blawnox Borough,borough,12.572776028942606,2.8370915385759887,Allegheny Valley North,NH
003440,873,PLEASANT HILLS,Pleasant Hills Borough,borough,12.525691107123983,2.662715502335081,South Hills Area,SH
003515,852,SHARPSBURG,Sharpsburg Borough,borough,12.525110002016735,2.830702288776942,North Hills,NH
003635,953,WILKINS,Wilkins Township,township,12.609395906229174,2.774842652988519,Turtle Creek Valley,ES
003570,858,TURTLE CREEK,Turtle Creek Borough,borough,12.615777767309247,2.7589536756796824,Turtle Creek Valley,MV
003060,808,BRADDOCK,Braddock Borough,borough,12.581665380964056,2.746169425199991,Turtle Creek Valley,MV
003160,822,EAST PITTSBURGH,East Pittsburgh Borough,borough,12.605574148297453,2.745833475261903,Turtle Creek Valley,MV
003380,843,NORTH BRADDOCK,North Braddock Borough,borough,12.591861023314845,2.7486540041527077,Turtle Creek Valley,MV
003645,867,WILMERDING,Wilmerding Borough,borough,12.626576572251562,2.7468385780387603,Turtle Creek Valley,MV
003590,861,WALL,Wall Borough,borough,12.643771167764665,2.7462283502489337,Turtle Creek Valley,ES
003585,860,VERSAILLES,Versailles Borough,borough,12.62431318399915,2.668009775679867,Steel Rivers,MV
003140,820,DRAVOSBURG,Dravosburg Borough,borough,12.573966576714602,2.6924811843781806,Steel Rivers,MV
003330,400,MCKEESPORT,McKeesport,city,12.61042340956148,2.6900933260799005,Steel Rivers,MV
003450,848,PORT VUE,Port Vue Borough,borough,12.590473528488324,2.6818656047113585,Steel Rivers,MV
003230,829,GLASSPORT,Glassport Borough,borough,12.582093185149514,2.669882174414289,Steel Rivers,MV
003145,300,DUQUESNE,Duquesne,city,12.599855644945217,2.719461177716941,Steel Rivers,MV
003310,837,LIBERTY,Liberty Borough,borough,12.601419154314051,2.6694475483473776,Steel Rivers,MV
003315,881,LINCOLN,Lincoln Borough,borough,12.606987585012707,2.6477745607752357,Steel Rivers,MV
003180,908,ELIZABETH,Elizabeth Township,township,12.635827340986667,2.6142189241767464,South Hills Area,MV
003180,825,ELIZABETH,Elizabeth Borough,borough,12.590038207424119,2.6137370780751485,Steel Rivers,MV
003600,862,WEST ELIZABETH,West Elizabeth Borough,borough,12.584222194265665,2.6141425831780314,Steel Rivers,MV
003045,945,SOUTH PARK,South Park Township,township,12.505627649837487,2.627806667726606,South Hills Area,SH
003370,870,WEST MIFFLIN,West Mifflin Borough,borough,12.560517789120269,2.6977402874176213,South Hills Area,MV
003365,839,MOUNT OLIVER,Mount Oliver Borough,borough,12.493035409881042,2.741040233830803, ,PGH
003620,865,WHITAKER,Whitaker Borough,borough,12.568724162883791,2.743045048535585,Steel Rivers,MV
003270,834,HOMESTEAD,Homestead Borough,borough,12.551133253224911,2.7454582649073394,Steel Rivers,MV
003370,840,MUNHALL,Munhall Borough,borough,12.55930837507557,2.7349708759000517,Steel Rivers,MV
003605,863,WEST HOMESTEAD,West Homestead Borough,borough,12.546246530207663,2.7350091340618636,Steel Rivers,MV
003240,831,GREEN TREE,Green Tree Borough,borough,12.44140222615226,2.738690431448663,South Hills Area,SH
003135,819,DORMONT,Dormont Borough,borough,12.457657510890366,2.7168838697464617,South Hills Area,SH
003020,902,BALDWIN,Baldwin Township,township,12.477612648821854,2.7063728724597,South Hills Area,SH
003075,810,BRENTWOOD,Brentwood Borough,borough,12.506594477569625,2.7045772195620037,South Hills Area,SH
003020,877,BALDWIN,Baldwin Borough,borough,12.513816329467021,2.705733490815905,South Hills Area,SH
003625,874,WHITEHALL,Whitehall Borough,borough,12.499909056607047,2.6901883959113384,South Hills Area,SH
003360,926,MOUNT LEBANON,Mount Lebanon,township,12.451874084894529,2.6985534181333044,South Hills Area,SH
003090,813,CASTLE SHANNON,Castle Shannon Borough,borough,12.475098731541308,2.69288247567262,South Hills Area,SH
